表1
列1	列2	列3	列4	列5	
COL27A1	collagen type XXVII alpha 1 chain		"KIAA1870, MGC11337, FLJ11895"	"collagen, type XXVII, alpha 1, ""collagen type XXVII alpha 1"""	
COL28A1	collagen type XXVIII alpha 1 chain			"collagen, type XXVIII, alpha 1"	
COLCA1	colorectal cancer associated 1	C11orf92	"FLJ45803, CASC12"	chromosome 11 open reading frame 92	
COLCA2	colorectal cancer associated 2	C11orf93	CASC13	chromosome 11 open reading frame 93	
COLEC10	collectin subfamily member 10		CL-L1	collectin sub-family member 10 (C-type lectin)	
COLEC11	collectin subfamily member 11		"MGC3279, CL-K1"		
COLEC12	collectin subfamily member 12		"SRCL, CL-P1, SCARA4"		
COLGALT1	collagen beta(1-O)galactosyltransferase 1	GLT25D1	FLJ22329	glycosyltransferase 25 domain containing 1	
COLGALT2	collagen beta(1-O)galactosyltransferase 2	"C1orf17, GLT25D2"	KIAA0584	"chromosome 1 open reading frame 17, ""glycosyltransferase 25 domain containing 2"""	
COLQ	collagen like tail subunit of asymmetric acetylcholinesterase		EAD	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	
COMMD1	copper metabolism domain containing 1	C2orf5	"MURR1, MGC27155"	"chromosome 2 open reading frame 5 (MURR1), ""copper metabolism (Murr1) domain containing 1"""	
COMMD2	COMM domain containing 2		HSPC042		
COMMD3	COMM domain containing 3	C10orf8	BUP	chromosome 10 open reading frame 8	
COMMD3-BMI1	COMMD3-BMI1 readthrough				
COMMD4	COMM domain containing 4		FLJ20452		
COMMD5	COMM domain containing 5		"HT002, FLJ13008, HCaRG"		
COMMD6	COMM domain containing 6		Acrg		
COMMD7	COMM domain containing 7	C20orf92	dJ1085F17.3	chromosome 20 open reading frame 92	
COMMD8	COMM domain containing 8		FLJ20502		
COMMD9	COMM domain containing 9		"HSPC166, FLJ31106"		
COMMD10	COMM domain containing 10		PTD002		
COMP	cartilage oligomeric matrix protein	"PSACH, EDM1, EPD1"	"MED, THBS5"	"cartilage oligomeric matrix protein (pseudoachondroplasia, epiphyseal dysplasia 1, multiple)"	
COMT	catechol-O-methyltransferase				
COMTD1	catechol-O-methyltransferase domain containing 1		FLJ23841		
COP1	COP1 E3 ubiquitin ligase	RFWD2	"FLJ10416, RNF200"	ring finger and WD repeat domain 2	
COPA	coatomer protein complex subunit alpha		HEP-COP	"coatomer protein complex, subunit alpha"	
COPB1	coatomer protein complex subunit beta 1	COPB		"coatomer protein complex, subunit beta, ""coatomer protein complex, subunit beta 1"""	
COPB2	coatomer protein complex subunit beta 2		"beta'-COP, betaprime-COP"	"coatomer protein complex, subunit beta 2 (beta prime), ""coatomer protein complex subunit beta 2 (beta prime)"""	
COPE	coatomer protein complex subunit epsilon		epsilon-COP	"coatomer protein complex, subunit epsilon"	
COPG1	coatomer protein complex subunit gamma 1	COPG		"coatomer protein complex, subunit gamma, ""coatomer protein complex, subunit gamma 1"""	
COPG2	coatomer protein complex subunit gamma 2		2-COP	"coatomer protein complex, subunit gamma 2"	
COPG2IT1	COPG2 imprinted transcript 1		"CIT1, NCRNA00170, COPG2AS"	"coatomer protein complex, subunit gamma 2, intronic transcript 1, ""COPG2 imprinted transcript 1 (non-protein coding)"""	
COPRS	coordinator of PRMT5 and differentiation stimulator	C17orf79	"TTP1, HSA272196, COPR5"	"chromosome 17 open reading frame 79, ""coordinator of PRMT5, differentiation stimulator"""	
COPS2	COP9 signalosome subunit 2		"TRIP15, ALIEN, CSN2"	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	
COPS3	COP9 signalosome subunit 3		"SGN3, CSN3"	"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 3, ""COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)"""	
COPS4	COP9 signalosome subunit 4		CSN4	"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 4, ""COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)"""	
COPS5	COP9 signalosome subunit 5		"JAB1, SGN5, MOV-34, CSN5"	"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 5, ""COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)"""	
COPS5P1	COP9 signalosome subunit 5 pseudogene 1	COPS5P		COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis) pseudogene	
COPS5P2	COP9 signalosome subunit 5 pseudogene 2				
COPS6	COP9 signalosome subunit 6		"MOV34-34KD, CSN6"	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	
COPS7A	COP9 signalosome subunit 7A		CSN7A	"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 7A, ""COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)"""	
COPS7B	COP9 signalosome subunit 7B		CSN7B	"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 7B, ""COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)"""	
COPS8	COP9 signalosome subunit 8		"COP9, CSN8, MGC1297, SGN8"	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	
COPS8P1	COP9 signalosome subunit 8 pseudogene 1				
COPS8P2	COP9 signalosome subunit 8 pseudogene 2				
COPS8P3	COP9 signalosome subunit 8 pseudogene 3				
COPS9	COP9 signalosome subunit 9	MYEOV2	CSNAP	myeloma overexpressed 2	
COPZ1	coatomer protein complex subunit zeta 1	COPZ	CGI-120	"coatomer protein complex, subunit zeta, ""coatomer protein complex, subunit zeta 1"""	
COPZ2	coatomer protein complex subunit zeta 2		MGC23008	"coatomer protein complex, subunit zeta 2"	
COQ2	"coenzyme Q2, polyprenyltransferase"		"CL640, FLJ26072"	"coenzyme Q2 homolog, prenyltransferase (yeast)"	
COQ3	"coenzyme Q3, methyltransferase"		bA9819.1	"coenzyme Q3 homolog, methyltransferase (yeast), ""coenzyme Q3 homolog, methyltransferase (S. cerevisiae)"""	
COQ4	coenzyme Q4		CGI-92	"coenzyme Q4 homolog (yeast), ""coenzyme Q4 homolog (S. cerevisiae)"""	
COQ5	"coenzyme Q5, methyltransferase"		MGC4767	"coenzyme Q5 homolog, methyltransferase (yeast), ""coenzyme Q5 homolog, methyltransferase (S. cerevisiae)"""	
COQ6	"coenzyme Q6, monooxygenase"		CGI-10	"coenzyme Q6 homolog (yeast), ""coenzyme Q6 homolog, monooxygenase (yeast)"", ""coenzyme Q6 homolog, monooxygenase (S. cerevisiae)"", ""coenzyme Q6 monooxygenase"""	
COQ7	"coenzyme Q7, hydroxylase"		"CLK-1, CAT5"	"coenzyme Q, 7 (rat, yeast) homolog, ""coenzyme Q7 homolog, ubiquinone (yeast)"""	
COQ8A	coenzyme Q8A	"CABC1, ADCK3"	"COQ8, SCAR9"	"chaperone-ABC1 (activity of bc1 complex, S.pombe)-like, ""chaperone, ABC1 activity of bc1 complex like (S. pombe)"", ""chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"", ""aarF domain containing kinase 3"""	
COQ8B	coenzyme Q8B	ADCK4	"FLJ12229, COQ8"	aarF domain containing kinase 4	
COQ9	coenzyme Q9	C16orf49	DKFZP434K046	"chromosome 16 open reading frame 49, ""coenzyme Q9 homolog (yeast)"", ""coenzyme Q9 homolog (S. cerevisiae)"""	
COQ10A	coenzyme Q10A		FLJ32452	"coenzyme Q10 homolog A (yeast), ""coenzyme Q10 homolog A (S. cerevisiae)"""	
COQ10B	coenzyme Q10B		FLJ13448	"coenzyme Q10 homolog B (yeast), ""coenzyme Q10 homolog B (S. cerevisiae)"""	
COQ10BP1	coenzyme Q10B pseudogene 1			coenzyme Q10 homolog B pseudogene 1	
COQ10BP2	coenzyme Q10B pseudogene 2			coenzyme Q10 homolog B pseudogene 2	
CORD1	cone rod dystrophy 1 (autosomal dominant)	CORD			
CORD4	cone rod dystrophy 4				
CORD8	cone rod dystrophy 8				
CORD17	cone rod dystrophy 17 (autosomal dominant)				
CORIN	"corin, serine peptidase"		"PRSC, CRN, ATC2, Lrp4, TMPRSS10"	"corin, serine protease"	
CORO1A	coronin 1A		"HCORO1, p57, coronin-1"	"coronin, actin-binding protein, 1A"	
CORO1B	coronin 1B		coronin-2	"coronin, actin-binding protein, 1B"	
CORO1C	coronin 1C		"coronin-3, HCRNN4"	"coronin, actin-binding protein, 1C"	
CORO2A	coronin 2A		"IR10, WDR2"	"coronin, actin-binding protein, 2A"	
CORO2B	coronin 2B		"ClipinC, KIAA0925"	"coronin, actin-binding protein, 2B"	
CORO6	coronin 6		FLJ14871		
CORO7	coronin 7		FLJ22021		
CORO7-PAM16	CORO7-PAM16 readthrough				
CORT	cortistatin		MGC32686		
COTL1	coactosin like F-actin binding protein 1		CLP	"coactosin-like 1 (Dictyostelium), ""coactosin-like F-actin binding protein 1"""	
COTL1P1	coactosin-like F-actin binding protein 1 pseudogene 1	CLPSMCR		"coactosin-like, Smith Magenis syndrome chromosome region, ""coactosin-like 1 (Dictyostelium) pseudogene 1"", ""COTL1 pseudogene 1"""	
COTL1P2	coactosin-like F-actin binding protein 1 pseudogene 2	CLPSMCR		"coactosin-like 1 (Dictyostelium) pseudogene 2, ""COTL1 pseudogene 2"""	
COX4I1	cytochrome c oxidase subunit 4I1	COX4	COX4-1	"cytochrome c oxidase subunit IV, ""cytochrome c oxidase subunit IV isoform 1"""	
COX4I1P1	cytochrome c oxidase subunit 4I1 pseudogene 1	"COX4P1, COX4L1"		"cytochrome c oxidase subunit IV pseudogene 1, ""cytochrome c oxidase subunit IV isoform 1 pseudogene 1"""	
COX4I1P2	cytochrome c oxidase subunit 4I1 pseudogene 2			cytochrome c oxidase subunit IV isoform 1 pseudogene 2	
COX4I2	cytochrome c oxidase subunit 4I2	COX4L2	"COXIV-2, COX4B, dJ857M17.2, COX4-2"	"cytochrome c oxidase subunit IV isoform 2, ""cytochrome c oxidase subunit IV isoform 2 (lung)"""	
COX5A	cytochrome c oxidase subunit 5A			cytochrome c oxidase subunit Va	
COX5AP1	cytochrome c oxidase subunit 5A pseudogene 1			cytochrome c oxidase subunit Va pseudogene 1	
COX5AP2	cytochrome c oxidase subunit 5A pseudogene 2			cytochrome c oxidase subunit Va pseudogene 2	
COX5B	cytochrome c oxidase subunit 5B			cytochrome c oxidase subunit Vb	
COX5BP1	cytochrome c oxidase subunit 5B pseudogene 1	COX5BL1		"cytochrome c oxidase subunit Vb-like 1, ""cytochrome c oxidase subunit Vb pseudogene 1"""	
COX5BP2	cytochrome c oxidase subunit 5B pseudogene 2	COX5BL2		"cytochrome c oxidase subunit Vb-like 2, ""cytochrome c oxidase subunit Vb pseudogene 2"""	
COX5BP3	cytochrome c oxidase subunit 5B pseudogene 3	COX5BL3		"cytochrome c oxidase subunit Vb-like 3, ""cytochrome c oxidase subunit Vb pseudogene 3"""	
COX5BP4	cytochrome c oxidase subunit 5B pseudogene 4	COX5BL4		"cytochrome c oxidase subunit Vb-like 4, ""cytochrome c oxidase subunit Vb pseudogene 4"""	
COX5BP5	cytochrome c oxidase subunit 5B pseudogene 5	COX5BL5		"cytochrome c oxidase subunit Vb-like 5, ""cytochrome c oxidase subunit Vb pseudogene 5"""	
COX5BP6	cytochrome c oxidase subunit 5B pseudogene 6	COX5BL6		"cytochrome c oxidase subunit Vb-like 6, ""cytochrome c oxidase subunit Vb pseudogene 6"""	
COX5BP7	cytochrome c oxidase subunit 5B pseudogene 7	COX5BL7		"cytochrome c oxidase subunit Vb-like 7, ""cytochrome c oxidase subunit Vb pseudogene 7"""	
COX5BP8	cytochrome c oxidase subunit 5B pseudogene 8			cytochrome c oxidase subunit Vb pseudogene 8	
COX6A1	cytochrome c oxidase subunit 6A1	COX6A		cytochrome c oxidase subunit VIa polypeptide 1	
COX6A1P1	cytochrome c oxidase subunit 6A1 pseudogene 1	COX6A1P		"cytochrome c oxidase subunit VIa polypeptide 1 pseudogene, ""cytochrome c oxidase subunit VIa polypeptide 1 pseudogene 1"""	
COX6A1P2	cytochrome c oxidase subunit 6A1 pseudogene 2			cytochrome c oxidase subunit VIa polypeptide 1 pseudogene 2	
COX6A1P3	cytochrome c oxidase subunit 6A1 pseudogene 3			cytochrome c oxidase subunit VIa polypeptide 1 pseudogene 3	
COX6A2	cytochrome c oxidase subunit 6A2			cytochrome c oxidase subunit VIa polypeptide 2	
COX6B1	cytochrome c oxidase subunit 6B1	COX6B	COXG	"cytochrome c oxidase subunit Vib, ""cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)"", ""cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)"""	
COX6B1P1	cytochrome c oxidase subunit 6B1 pseudogene 1	COX6BP1		"cytochrome c oxidase subunit VIb pseudogene 1 (HCOX52), ""cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 1"""	
COX6B1P2	cytochrome c oxidase subunit 6B1 pseudogene 2	COX6BP2		"cytochrome c oxidase subunit VIb pseudogene 2, ""cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 2"""	
COX6B1P3	cytochrome c oxidase subunit 6B1 pseudogene 3	COX6BP3		"cytochrome c oxidase subunit VIb pseudogene 3, ""cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 3"""	
COX6B1P4	cytochrome c oxidase subunit 6B1 pseudogene 4	COX6BP4		"cytochrome c oxidase subunit VIb pseudogene 4, ""cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 4"""	
COX6B1P5	cytochrome c oxidase subunit 6B1 pseudogene 5			cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 5	
COX6B1P6	cytochrome c oxidase subunit 6B1 pseudogene 6			cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 6	
COX6B1P7	cytochrome c oxidase subunit 6B1 pseudogene 7			cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 7	
COX6B2	cytochrome c oxidase subunit 6B2		"COXVIB2, FLJ32865, CT59"	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	
COX6C	cytochrome c oxidase subunit 6C			cytochrome c oxidase subunit VIc	
COX6CP1	cytochrome c oxidase subunit 6C pseudogene 1			cytochrome c oxidase subunit VIc pseudogene 1	
COX6CP2	cytochrome c oxidase subunit 6C pseudogene 2		dJ894K16.1	cytochrome c oxidase subunit VIc pseudogene 2	
COX6CP3	cytochrome c oxidase subunit 6C pseudogene 3			cytochrome c oxidase subunit VIc pseudogene 3	
COX6CP4	cytochrome c oxidase subunit 6C pseudogene 4			cytochrome c oxidase subunit VIc pseudogene 4	
COX6CP5	cytochrome c oxidase subunit 6C pseudogene 5			cytochrome c oxidase subunit VIc pseudogene 5	
COX6CP6	cytochrome c oxidase subunit 6C pseudogene 6			cytochrome c oxidase subunit VIc pseudogene 6	
COX6CP7	cytochrome c oxidase subunit 6C pseudogene 7			cytochrome c oxidase subunit VIc pseudogene 7	
COX6CP8	cytochrome c oxidase subunit 6C pseudogene 8			cytochrome c oxidase subunit VIc pseudogene 8	
COX6CP9	cytochrome c oxidase subunit 6C pseudogene 9			cytochrome c oxidase subunit VIc pseudogene 9	
COX6CP10	cytochrome c oxidase subunit 6C pseudogene 10			cytochrome c oxidase subunit VIc pseudogene 10	
COX6CP11	cytochrome c oxidase subunit 6C pseudogene 11			cytochrome c oxidase subunit VIc pseudogene 11	
COX6CP12	cytochrome c oxidase subunit 6C pseudogene 12			cytochrome c oxidase subunit VIc pseudogene 12	
COX6CP13	cytochrome c oxidase subunit 6C pseudogene 13			cytochrome c oxidase subunit VIc pseudogene 13	
COX6CP14	cytochrome c oxidase subunit 6C pseudogene 14			cytochrome c oxidase subunit VIc pseudogene 14	
COX6CP15	cytochrome c oxidase subunit 6C pseudogene 15			cytochrome c oxidase subunit VIc pseudogene 15	
COX6CP16	cytochrome c oxidase subunit 6C pseudogene 16			cytochrome c oxidase subunit VIc pseudogene 16	
COX6CP17	cytochrome c oxidase subunit 6C pseudogene 17			cytochrome c oxidase subunit VIc pseudogene 17	
COX6CP18	cytochrome c oxidase subunit 6C pseudogene 18			cytochrome c oxidase subunit VIc pseudogene 18	
COX7A1	cytochrome c oxidase subunit 7A1	COX7A	COX7AH	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	
COX7A2	cytochrome c oxidase subunit 7A2		"COXVIIa-L, COX7AL"	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	
COX7A2L	cytochrome c oxidase subunit 7A2 like		"EB1, COX7RP, COX7AR, SIG81"	cytochrome c oxidase subunit VIIa polypeptide 2 like	
COX7A2P1	cytochrome c oxidase subunit 7A2 pseudogene 1	"COX7A3P, COX7AP1"		"cytochrome c oxidase subunit VIIa polypeptide 3 pseudogene, ""cytochrome c oxidase subunit VIIa pseudogene 1"", ""cytochrome c oxidase subunit VIIa polypeptide 2 (liver) pseudogene 1"""	
COX7A2P2	cytochrome c oxidase subunit 7A2 pseudogene 2	"COX7A3, COX7AP2"	COX7AL2	"cytochrome c oxidase subunit VIIa polypeptide 3 (liver), ""cytochrome c oxidase subunit VIIa pseudogene 2"", ""cytochrome c oxidase subunit VIIa polypeptide 2 (liver) pseudogene 2"""	
COX7B	cytochrome c oxidase subunit 7B			cytochrome c oxidase subunit VIIb	
COX7B2	cytochrome c oxidase subunit 7B2			cytochrome c oxidase subunit VIIb2	
COX7BP1	cytochrome c oxidase subunit 7B pseudogene 1		bK714B7.1	cytochrome c oxidase subunit VIIb pseudogene 1	
COX7BP2	cytochrome c oxidase subunit 7B pseudogene 2		dJ901O8.2	cytochrome c oxidase subunit VIIb pseudogene 2	
COX7C	cytochrome c oxidase subunit 7C			cytochrome c oxidase subunit VIIc	
COX7CP1	cytochrome c oxidase subunit 7C pseudogene 1			cytochrome c oxidase subunit VIIc pseudogene 1	
COX8A	cytochrome c oxidase subunit 8A	COX8	"COX8-2, COX8L, VIII-L, COX, VIII"	"cytochrome c oxidase subunit VIII, ""cytochrome c oxidase subunit VIIIA (ubiquitous)"""	
COX8BP	"cytochrome c oxidase subunit 8B, pseudogene"	COX8B	"COX8-1, COX8H"	"cytochrome c oxidase subunit VIIIB, pseudogene"	
COX8C	cytochrome c oxidase subunit 8C		COX8-3	cytochrome c oxidase subunit VIIIC	
COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10			"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast), ""cytochrome c oxidase assembly homolog 10 (yeast)"", ""COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor"""	
COX10-AS1	COX10 antisense RNA 1	"COX10AS, COX10-AS"		"COX10 antisense RNA (non-protein coding), ""COX10 antisense RNA 1 (non-protein coding)"""	
COX11	cytochrome c oxidase copper chaperone COX11		COX11P	"COX11 (yeast) homolog, cytochrome c oxidase assembly protein, ""cytochrome c oxidase assembly homolog 11 (yeast)"", ""COX11, cytochrome c oxidase copper chaperone"""	
COX11P1	COX11 pseudogene 1	COX11P		"COX11 homolog, cytochrome c oxidase assembly protein (yeast) pseudogene"	
COX14	cytochrome c oxidase assembly factor COX14	C12orf62	MGC14288	"chromosome 12 open reading frame 62, ""COX14 cytochrome c oxidase assembly homolog (S. cerevisiae)"", ""COX14, cytochrome c oxidase assembly factor"""	
COX15	cytochrome c oxidase assembly homolog COX15		CEMCOX2	"COX15 (yeast) homolog, cytochrome c oxidase assembly protein, ""COX15, cytochrome c oxidase assembly homolog"""	
COX16	cytochrome c oxidase assembly factor COX16	C14orf112	HSPC203	"chromosome 14 open reading frame 112, ""COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)"", ""COX16, cytochrome c oxidase assembly homolog"""	
COX17	cytochrome c oxidase copper chaperone COX17			"COX17 (yeast) homolog, cytochrome c oxidase assembly protein, ""COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)"", ""COX17, cytochrome c oxidase copper chaperone"""	
COX17P1	COX17 pseudogene 1	COX17P		"COX17 cytochrome c oxidase assembly homolog (S. cerevisiae) pseudogene, ""cytochrome c oxidase assembly homolog 17 (yeast) pseudogene 1"""	
COX18	cytochrome c oxidase assembly factor COX18		FLJ38991	"COX18 cytochrome c oxidase assembly homolog (S. cerevisiae), ""cytochrome c oxidase assembly homolog 18 (yeast)"", ""COX18, cytochrome c oxidase assembly factor"""	
COX19	cytochrome c oxidase assembly factor COX19		MGC104475	"COX19 cytochrome c oxidase assembly homolog (S. cerevisiae), ""cytochrome c oxidase assembly homolog 19 (S. cerevisiae)"", ""COX19, cytochrome c oxidase assembly factor"""	
COX20	cytochrome c oxidase assembly factor COX20	FAM36A	FLJ43269	"family with sequence similarity 36, member A, ""COX20 Cox2 chaperone homolog (S. cerevisiae)"", ""COX20, cytochrome c oxidase assembly factor"""	
COX20P1	COX20 pseudogene 1	FAM36B	bA119F7.2	"family with sequence similarity 36, member B (pseudogene), ""COX20 cytochrome C oxidase assembly factor pseudogene 1"""	
COX20P2	COX20 pseudogene 2			COX20 cytochrome C oxidase assembly factor pseudogene 2	
CP	ceruloplasmin			ceruloplasmin (ferroxidase)	
CPA1	carboxypeptidase A1	CPA		carboxypeptidase A1 (pancreatic)	
CPA2	carboxypeptidase A2			carboxypeptidase A2 (pancreatic)	
CPA3	carboxypeptidase A3			carboxypeptidase A3 (mast cell)	
CPA4	carboxypeptidase A4		CPA3		
CPA5	carboxypeptidase A5				
CPA6	carboxypeptidase A6		CPAH		
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8		"KIAA1283, VIP, K-CAP"		
CPAT1	"cerebral palsy, ataxic 1"				
CPB1	carboxypeptidase B1			carboxypeptidase B1 (tissue)	
CPB2	carboxypeptidase B2		"CPU, PCPB, TAFI"	"carboxypeptidase B2 (plasma, carboxypeptidase U), ""carboxypeptidase B2 (plasma)"""	
CPB2-AS1	CPB2 antisense RNA 1			CPB2 antisense RNA 1 (non-protein coding)	
CPD	carboxypeptidase D		GP180		
CPDP1	carboxypeptidase D pseudogene 1				
CPE	carboxypeptidase E				
CPEB1	cytoplasmic polyadenylation element binding protein 1		"FLJ13203, CPEB"		
CPEB1-AS1	CPEB1 antisense RNA 1				
CPEB2	cytoplasmic polyadenylation element binding protein 2				
CPEB2-DT	CPEB2 divergent transcript	CPEB2-AS1		CPEB2 antisense RNA 1 (head to head)	
CPEB3	cytoplasmic polyadenylation element binding protein 3		KIAA0940		
CPEB4	cytoplasmic polyadenylation element binding protein 4		KIAA1673		
CPED1	cadherin like and PC-esterase domain containing 1	C7orf58	FLJ21986	"chromosome 7 open reading frame 58, ""cadherin-like and PC-esterase domain containing 1"""	
CPHL1P	ceruloplasmin and hephaestin-like 1 pseudogene	CPHL1		ceruloplasmin and hephaestin-like 1	
CPHXL	cytoplasmic polyadenylated homeobox like				
CPLANE1	ciliogenesis and planar polarity effector 1	C5orf42	"FLJ13231, JBTS17, Hug"	chromosome 5 open reading frame 42	
CPLANE2	ciliogenesis and planar polarity effector 2	"C1orf89, RSG1"	MGC10731	"chromosome 1 open reading frame 89, ""REM2 and RAB like small GTPase 1"""	
CPLX1	complexin 1		CPX-I		
CPLX2	complexin 2		"CPX-2, DKFZp547D155"		
CPLX3	complexin 3		CPX-III		
CPLX4	complexin 4		CPX-IV		
CPM	carboxypeptidase M				
CPN1	carboxypeptidase N subunit 1			"carboxypeptidase N, polypeptide 1, 50kD, ""carboxypeptidase N, polypeptide 1"""	
CPN2	carboxypeptidase N subunit 2	ACBP		"carboxypeptidase N, polypeptide 2, 83kD, ""carboxypeptidase N, polypeptide 2"""	
CPNE1	copine 1		CPN1	copine I	
CPNE2	copine 2		CPN2	copine II	
CPNE3	copine 3			copine III	
CPNE4	copine 4		"COPN4, CPN4"	copine IV	
CPNE5	copine 5		"CPN5, COPN5, KIAA1599"	copine V	
CPNE6	copine 6			copine VI (neuronal)	
CPNE7	copine 7			copine VII	
CPNE8	copine 8			copine VIII	
CPNE8-AS1	CPNE8 antisense RNA 1		RP11-396F22.1		
CPNE9	copine family member 9		KIAA4217	copine family member IX	
CPO	carboxypeptidase O				
CPOX	coproporphyrinogen oxidase	CPO	"CPX, HCP"	"coproporphyrinogen oxidase (coproporphyria, harderoporphyria)"	
CPP	ceruloplasmin pseudogene			ceruloplasmin (ferroxidase) pseudogene	
CPPED1	calcineurin like phosphoesterase domain containing 1		"CSTP1, FLJ11151"	calcineurin-like phosphoesterase domain containing 1	
CPQ	carboxypeptidase Q		"LDP, PGCP"		
CPS1	carbamoyl-phosphate synthase 1			"carbamoyl-phosphate synthetase 1, mitochondrial, ""carbamoyl-phosphate synthase 1, mitochondrial"""	
CPS1-IT1	CPS1 intronic transcript 1	CPS1IT	"PRO0132, CPS1-IT"	CPS1 intronic transcript 1 (non-protein coding)	
CPSF1	cleavage and polyadenylation specific factor 1		CPSF160	"cleavage and polyadenylation specific factor 1, 160kD subunit, ""cleavage and polyadenylation specific factor 1, 160kDa"""	
CPSF1P1	cleavage and polyadenylation specific factor 1 pseudogene 1		dJ90G24.5	"cleavage and polyadenylation specific factor 1, 160kDa pseudogene 1"	
CPSF2	cleavage and polyadenylation specific factor 2		"KIAA1367, CPSF100"	"cleavage and polyadenylation specific factor 2, 100kD subunit, ""cleavage and polyadenylation specific factor 2, 100kDa"""	
CPSF3	cleavage and polyadenylation specific factor 3		"CPSF-73, CPSF73, YSH1"	"cleavage and polyadenylation specific factor 3, 73kD subunit, ""cleavage and polyadenylation specific factor 3, 73kDa"""	
CPSF4	cleavage and polyadenylation specific factor 4		"NAR, CPSF30"	"cleavage and polyadenylation specific factor 4, 30kD subunit, ""cleavage and polyadenylation specific factor 4, 30kDa"""	
CPSF4L	cleavage and polyadenylation specific factor 4 like				
CPSF6	cleavage and polyadenylation specific factor 6		"CFIM, HPBRII-4, HPBRII-7, CFIM68, CFIM72"	"cleavage and polyadenylation specific factor 6, 68kD subunit, ""cleavage and polyadenylation specific factor 6, 68kDa"""	
CPSF7	cleavage and polyadenylation specific factor 7		"FLJ12529, CFIM59"	"cleavage and polyadenylation specific factor 7, 59kDa"	
CPT1A	carnitine palmitoyltransferase 1A	CPT1	"CPT1-L, L-CPT1"	carnitine palmitoyltransferase 1A (liver)	
CPT1B	carnitine palmitoyltransferase 1B		"M-CPT1, CPT1-M"	carnitine palmitoyltransferase 1B (muscle)	
CPT1C	carnitine palmitoyltransferase 1C		"FLJ23809, CPTIC, CPT1P"		
CPT2	carnitine palmitoyltransferase 2	CPT1	CPTASE	carnitine palmitoyltransferase II	
CPT2P1	carnitine palmitoyltransferase 2 pseudogene 1				
CPTP	ceramide-1-phosphate transfer protein	GLTPD1	MGC10334	glycolipid transfer protein domain containing 1	
CPVL	carboxypeptidase vitellogenic like			"carboxypeptidase, vitellogenic-like"	
CPXCR1	CPX chromosome region candidate 1		CT77		
CPXM1	"carboxypeptidase X, M14 family member 1"	CPXM	"CPX-1, CPX1"	"carboxypeptidase X (M14 family), member 1"	
CPXM2	"carboxypeptidase X, M14 family member 2"		"UNQ676, CPX2"	"carboxypeptidase X (M14 family), member 2"	
CPZ	carboxypeptidase Z				
CR1	complement C3b/C4b receptor 1 (Knops blood group)		"CD35, KN"	"complement component (3b/4b) receptor 1, including Knops blood group system, ""complement component (3b/4b) receptor 1 (Knops blood group)"", ""complement component 3b/4b receptor 1 (Knops blood group)"""	
CR1L	complement C3b/C4b receptor 1 like			complement component (3b/4b) receptor 1-like	
CR2	complement C3d receptor 2		"CD21, C3DR"	"complement component (3d/Epstein Barr virus) receptor 2, ""complement component 3d receptor 2"""	
CRABP1	cellular retinoic acid binding protein 1	RBP5	"CRABP, CRABP-I, CRABPI"	cellular retinoic acid-binding protein 1	
CRABP2	cellular retinoic acid binding protein 2		CRABP-II	cellular retinoic acid-binding protein 2	
